;iso2;year;new_sp
813;BY;1980;0.0
814;BY;1981;0.0
815;BY;1982;0.0
816;BY;1983;0.0
817;BY;1984;0.0
818;BY;1985;0.0
819;BY;1986;0.0
820;BY;1987;0.0
821;BY;1988;0.0
822;BY;1989;0.0
823;BY;1990;0.0
824;BY;1991;0.0
825;BY;1992;0.0
826;BY;1993;1493.0
827;BY;1994;1775.0
828;BY;1995;1845.0
829;BY;1996;2117.0
830;BY;1997;2273.0
831;BY;1998;5047.0
832;BY;1999;2769.0
833;BY;2000;2547.0
834;BY;2001;2341.0
835;BY;2002;0.0
836;BY;2003;1018.0
837;BY;2004;1109.0
838;BY;2005;1235.0
839;BY;2006;1072.0
840;BY;2007;1051.0
841;BY;2008;1060.0
