;iso2;year;new_sp
1295;CZ;1980;0.0
1296;CZ;1981;0.0
1297;CZ;1982;0.0
1298;CZ;1983;0.0
1299;CZ;1984;0.0
1300;CZ;1985;0.0
1301;CZ;1986;0.0
1302;CZ;1987;0.0
1303;CZ;1988;0.0
1304;CZ;1989;0.0
1305;CZ;1990;0.0
1306;CZ;1991;0.0
1307;CZ;1992;0.0
1308;CZ;1993;548.0
1309;CZ;1994;524.0
1310;CZ;1995;487.0
1311;CZ;1996;586.0
1312;CZ;1997;481.0
1313;CZ;1998;545.0
1314;CZ;1999;449.0
1315;CZ;2000;420.0
1316;CZ;2001;391.0
1317;CZ;2002;329.0
1318;CZ;2003;338.0
1319;CZ;2004;302.0
1320;CZ;2005;308.0
1321;CZ;2006;257.0
1322;CZ;2007;267.0
1323;CZ;2008;251.0
