;iso2;year;new_sp
3024;LT;1980;0.0
3025;LT;1981;0.0
3026;LT;1982;0.0
3027;LT;1983;0.0
3028;LT;1984;0.0
3029;LT;1985;0.0
3030;LT;1986;0.0
3031;LT;1987;0.0
3032;LT;1988;0.0
3033;LT;1989;0.0
3034;LT;1990;0.0
3035;LT;1991;0.0
3036;LT;1992;0.0
3037;LT;1993;688.0
3038;LT;1994;0.0
3039;LT;1995;979.0
3040;LT;1996;1121.0
3041;LT;1997;1200.0
3042;LT;1998;787.0
3043;LT;1999;787.0
3044;LT;2000;776.0
3045;LT;2001;935.0
3046;LT;2002;822.0
3047;LT;2003;912.0
3048;LT;2004;863.0
3049;LT;2005;964.0
3050;LT;2006;1029.0
3051;LT;2007;925.0
3052;LT;2008;884.0
