;iso2;year;new_sp
4195;PL;1980;0.0
4196;PL;1981;0.0
4197;PL;1982;0.0
4198;PL;1983;0.0
4199;PL;1984;0.0
4200;PL;1985;0.0
4201;PL;1986;0.0
4202;PL;1987;0.0
4203;PL;1988;0.0
4204;PL;1989;0.0
4205;PL;1990;0.0
4206;PL;1991;0.0
4207;PL;1992;0.0
4208;PL;1993;7606.0
4209;PL;1994;4000.0
4210;PL;1995;6955.0
4211;PL;1996;6819.0
4212;PL;1997;3497.0
4213;PL;1998;3502.0
4214;PL;1999;3177.0
4215;PL;2000;3180.0
4216;PL;2001;3155.0
4217;PL;2002;3060.0
4218;PL;2003;2983.0
4219;PL;2004;2777.0
4220;PL;2005;2823.0
4221;PL;2006;2835.0
4222;PL;2007;2827.0
4223;PL;2008;2650.0
