;iso2;year;new_sp
4674;SK;1980;0.0
4675;SK;1981;0.0
4676;SK;1982;0.0
4677;SK;1983;0.0
4678;SK;1984;0.0
4679;SK;1985;0.0
4680;SK;1986;0.0
4681;SK;1987;0.0
4682;SK;1988;0.0
4683;SK;1989;0.0
4684;SK;1990;0.0
4685;SK;1991;0.0
4686;SK;1992;0.0
4687;SK;1993;882.0
4688;SK;1994;409.0
4689;SK;1995;788.0
4690;SK;1996;760.0
4691;SK;1997;283.0
4692;SK;1998;303.0
4693;SK;1999;246.0
4694;SK;2000;236.0
4695;SK;2001;226.0
4696;SK;2002;202.0
4697;SK;2003;200.0
4698;SK;2004;157.0
4699;SK;2005;162.0
4700;SK;2006;160.0
4701;SK;2007;176.0
4702;SK;2008;126.0
