;iso2;year;new_sp
5299;UA;1980;0.0
5300;UA;1981;0.0
5301;UA;1982;0.0
5302;UA;1983;0.0
5303;UA;1984;0.0
5304;UA;1985;0.0
5305;UA;1986;0.0
5306;UA;1987;0.0
5307;UA;1988;0.0
5308;UA;1989;0.0
5309;UA;1990;0.0
5310;UA;1991;0.0
5311;UA;1992;0.0
5312;UA;1993;8314.0
5313;UA;1994;8471.0
5314;UA;1995;8263.0
5315;UA;1996;7827.0
5316;UA;1997;9533.0
5317;UA;1998;10586.0
5318;UA;1999;10412.0
5319;UA;2000;10738.0
5320;UA;2001;0.0
5321;UA;2002;0.0
5322;UA;2003;12785.0
5323;UA;2004;0.0
5324;UA;2005;0.0
5325;UA;2006;14206.0
5326;UA;2007;11028.0
5327;UA;2008;14574.0
