;Marka;Ocena;Płeć kupującego
1;Beko;3.0;bd.
7;Beko;2.0;bd.
8;Beko;3.0;bd.
13;Beko;2.5;bd.
29;Beko;2.5;bd.
50;Beko;2.5;bd.
55;Beko;2.5;bd.
56;Beko;3.0;bd.
65;Beko;3.0;bd.
67;Beko;2.0;bd.
68;Beko;2.0;bd.
72;Beko;2.5;bd.
99;Beko;1.5;bd.
106;Beko;3.0;bd.
107;Beko;2.0;bd.
117;Beko;2.0;bd.
119;Beko;3.5;bd.
129;Beko;1.0;bd.
135;Beko;1.5;bd.
144;Beko;3.0;bd.
150;Beko;2.5;bd.
159;Beko;2.0;bd.
163;Beko;3.5;bd.
167;Beko;1.0;bd.
168;Beko;1.5;bd.
184;Beko;3.0;bd.
187;Beko;3.0;bd.
204;Beko;1.5;bd.
207;Beko;2.0;bd.
209;Beko;5.0;bd.
210;Beko;4.0;bd.
214;Beko;0.5;bd.
224;Beko;1.5;bd.
226;Beko;3.5;bd.
227;Beko;2.0;bd.
235;Beko;2.5;bd.
236;Beko;0.5;bd.
243;Beko;2.5;bd.
254;Beko;1.5;bd.
256;Beko;2.0;bd.
257;Beko;3.0;bd.
260;Beko;2.5;bd.
267;Beko;4.5;bd.
290;Beko;2.0;bd.
296;Beko;2.0;bd.
310;Beko;4.0;bd.
324;Beko;1.0;bd.
329;Beko;2.0;bd.
330;Beko;1.5;bd.
340;Beko;5.0;bd.
343;Beko;3.0;bd.
348;Beko;2.0;bd.
350;Beko;1.5;bd.
357;Beko;3.5;bd.
359;Beko;2.5;bd.
368;Beko;1.5;bd.
387;Beko;1.0;bd.
388;Beko;2.5;bd.
392;Beko;1.5;bd.
410;Beko;2.5;bd.
413;Beko;4.0;bd.
420;Beko;3.0;bd.
425;Beko;2.5;bd.
427;Beko;3.0;bd.
431;Beko;3.5;bd.
435;Beko;3.5;bd.
436;Beko;3.5;bd.
448;Beko;0.5;bd.
453;Beko;5.0;bd.
454;Beko;1.5;bd.
460;Beko;2.5;bd.
