;Marka;Ocena;Płeć kupującego
4;Beko;2.5;K
12;Beko;1.5;K
14;Beko;3.0;K
31;Beko;3.0;K
33;Beko;0.5;K
35;Beko;1.5;K
43;Beko;4.5;K
47;Beko;3.5;K
57;Beko;1.0;K
59;Beko;3.0;K
61;Beko;2.0;K
64;Beko;2.5;K
66;Beko;3.0;K
70;Beko;0.0;K
74;Beko;5.0;K
77;Beko;1.0;K
81;Beko;4.0;K
83;Beko;1.5;K
89;Beko;0.5;K
90;Beko;3.0;K
95;Beko;4.5;K
97;Beko;3.0;K
103;Beko;1.0;K
108;Beko;2.5;K
115;Beko;2.0;K
120;Beko;2.5;K
127;Beko;2.5;K
132;Beko;2.5;K
151;Beko;0.5;K
157;Beko;3.5;K
166;Beko;4.5;K
169;Beko;2.5;K
170;Beko;2.5;K
177;Beko;3.0;K
180;Beko;3.5;K
182;Beko;2.0;K
186;Beko;5.0;K
189;Beko;1.5;K
190;Beko;0.5;K
202;Beko;2.0;K
217;Beko;2.5;K
230;Beko;2.0;K
244;Beko;4.5;K
248;Beko;1.0;K
252;Beko;2.0;K
265;Beko;3.0;K
275;Beko;0.5;K
280;Beko;0.5;K
281;Beko;1.0;K
282;Beko;2.0;K
286;Beko;3.5;K
294;Beko;2.0;K
297;Beko;4.0;K
298;Beko;1.5;K
299;Beko;2.5;K
306;Beko;3.5;K
309;Beko;2.0;K
315;Beko;2.0;K
316;Beko;2.0;K
317;Beko;2.0;K
319;Beko;1.5;K
322;Beko;2.5;K
331;Beko;2.5;K
332;Beko;1.0;K
335;Beko;4.0;K
341;Beko;3.0;K
344;Beko;4.0;K
346;Beko;1.5;K
353;Beko;5.0;K
354;Beko;3.5;K
356;Beko;2.5;K
360;Beko;0.5;K
366;Beko;2.0;K
367;Beko;4.0;K
371;Beko;2.0;K
377;Beko;2.0;K
381;Beko;5.0;K
383;Beko;3.5;K
389;Beko;1.0;K
393;Beko;3.0;K
394;Beko;2.5;K
399;Beko;3.0;K
405;Beko;2.0;K
412;Beko;1.0;K
415;Beko;4.0;K
417;Beko;1.0;K
428;Beko;3.5;K
458;Beko;4.0;K
463;Beko;2.0;K
