;Marka;Wiek kupującego;Płeć kupującego
4;Beko;62.0;K
12;Beko;50.0;K
14;Beko;;K
31;Beko;40.0;K
33;Beko;33.0;K
35;Beko;45.0;K
43;Beko;46.0;K
47;Beko;37.0;K
57;Beko;32.0;K
59;Beko;21.0;K
61;Beko;;K
64;Beko;30.0;K
66;Beko;46.0;K
70;Beko;29.0;K
74;Beko;43.0;K
77;Beko;38.0;K
81;Beko;36.0;K
83;Beko;49.0;K
89;Beko;28.0;K
90;Beko;37.0;K
95;Beko;42.0;K
97;Beko;46.0;K
103;Beko;29.0;K
108;Beko;41.0;K
115;Beko;37.0;K
120;Beko;63.0;K
127;Beko;49.0;K
132;Beko;38.0;K
151;Beko;30.0;K
157;Beko;;K
166;Beko;51.0;K
169;Beko;31.0;K
170;Beko;50.0;K
177;Beko;40.0;K
180;Beko;;K
182;Beko;26.0;K
186;Beko;21.0;K
189;Beko;;K
190;Beko;42.0;K
202;Beko;32.0;K
217;Beko;49.0;K
230;Beko;55.0;K
244;Beko;27.0;K
248;Beko;;K
252;Beko;29.0;K
265;Beko;42.0;K
275;Beko;30.0;K
280;Beko;44.0;K
281;Beko;27.0;K
282;Beko;48.0;K
286;Beko;41.0;K
294;Beko;44.0;K
297;Beko;31.0;K
298;Beko;47.0;K
299;Beko;38.0;K
306;Beko;37.0;K
309;Beko;36.0;K
315;Beko;49.0;K
316;Beko;;K
317;Beko;49.0;K
319;Beko;40.0;K
322;Beko;36.0;K
331;Beko;25.0;K
332;Beko;52.0;K
335;Beko;44.0;K
341;Beko;42.0;K
344;Beko;23.0;K
346;Beko;55.0;K
353;Beko;47.0;K
354;Beko;43.0;K
356;Beko;31.0;K
360;Beko;35.0;K
366;Beko;36.0;K
367;Beko;18.0;K
371;Beko;;K
377;Beko;47.0;K
381;Beko;36.0;K
383;Beko;36.0;K
389;Beko;25.0;K
393;Beko;26.0;K
394;Beko;53.0;K
399;Beko;32.0;K
405;Beko;47.0;K
412;Beko;48.0;K
415;Beko;41.0;K
417;Beko;37.0;K
428;Beko;38.0;K
458;Beko;47.0;K
463;Beko;;K
