;Marka;Wiek kupującego;Płeć kupującego
0;Beko;33.0;M
2;Beko;50.0;M
6;Beko;38.0;M
10;Beko;51.0;M
17;Beko;30.0;M
19;Beko;52.0;M
21;Beko;48.0;M
22;Beko;29.0;M
27;Beko;27.0;M
28;Beko;45.0;M
36;Beko;44.0;M
37;Beko;46.0;M
41;Beko;44.0;M
42;Beko;45.0;M
49;Beko;35.0;M
53;Beko;;M
54;Beko;30.0;M
60;Beko;31.0;M
62;Beko;46.0;M
69;Beko;40.0;M
73;Beko;44.0;M
76;Beko;40.0;M
79;Beko;38.0;M
80;Beko;37.0;M
82;Beko;34.0;M
84;Beko;;M
86;Beko;50.0;M
88;Beko;50.0;M
91;Beko;42.0;M
92;Beko;47.0;M
93;Beko;;M
96;Beko;40.0;M
101;Beko;35.0;M
109;Beko;49.0;M
111;Beko;;M
112;Beko;38.0;M
113;Beko;47.0;M
114;Beko;59.0;M
118;Beko;;M
123;Beko;37.0;M
124;Beko;27.0;M
125;Beko;55.0;M
133;Beko;30.0;M
134;Beko;55.0;M
136;Beko;34.0;M
142;Beko;;M
143;Beko;31.0;M
145;Beko;;M
146;Beko;25.0;M
147;Beko;;M
148;Beko;20.0;M
152;Beko;39.0;M
153;Beko;38.0;M
154;Beko;27.0;M
155;Beko;;M
156;Beko;51.0;M
158;Beko;44.0;M
162;Beko;37.0;M
165;Beko;37.0;M
171;Beko;44.0;M
178;Beko;;M
183;Beko;39.0;M
188;Beko;55.0;M
191;Beko;;M
194;Beko;34.0;M
195;Beko;35.0;M
196;Beko;37.0;M
197;Beko;;M
201;Beko;;M
203;Beko;35.0;M
205;Beko;49.0;M
215;Beko;28.0;M
216;Beko;39.0;M
218;Beko;50.0;M
219;Beko;40.0;M
220;Beko;48.0;M
222;Beko;29.0;M
237;Beko;33.0;M
240;Beko;34.0;M
242;Beko;28.0;M
245;Beko;30.0;M
247;Beko;56.0;M
249;Beko;41.0;M
250;Beko;;M
251;Beko;30.0;M
261;Beko;25.0;M
262;Beko;19.0;M
263;Beko;35.0;M
266;Beko;44.0;M
269;Beko;50.0;M
270;Beko;38.0;M
271;Beko;39.0;M
273;Beko;44.0;M
274;Beko;36.0;M
278;Beko;46.0;M
279;Beko;44.0;M
283;Beko;48.0;M
284;Beko;34.0;M
288;Beko;47.0;M
293;Beko;44.0;M
295;Beko;40.0;M
300;Beko;48.0;M
302;Beko;20.0;M
305;Beko;59.0;M
307;Beko;;M
312;Beko;38.0;M
314;Beko;67.0;M
320;Beko;34.0;M
326;Beko;47.0;M
327;Beko;53.0;M
328;Beko;47.0;M
333;Beko;37.0;M
337;Beko;34.0;M
338;Beko;31.0;M
342;Beko;62.0;M
345;Beko;37.0;M
349;Beko;29.0;M
351;Beko;;M
352;Beko;28.0;M
358;Beko;42.0;M
361;Beko;58.0;M
362;Beko;34.0;M
363;Beko;40.0;M
364;Beko;39.0;M
365;Beko;49.0;M
369;Beko;;M
370;Beko;;M
374;Beko;;M
375;Beko;33.0;M
378;Beko;;M
380;Beko;45.0;M
385;Beko;38.0;M
390;Beko;59.0;M
391;Beko;41.0;M
395;Beko;32.0;M
396;Beko;30.0;M
397;Beko;50.0;M
400;Beko;28.0;M
401;Beko;43.0;M
403;Beko;35.0;M
411;Beko;43.0;M
416;Beko;44.0;M
418;Beko;42.0;M
421;Beko;26.0;M
422;Beko;49.0;M
423;Beko;38.0;M
426;Beko;48.0;M
433;Beko;43.0;M
434;Beko;43.0;M
437;Beko;25.0;M
440;Beko;38.0;M
443;Beko;49.0;M
444;Beko;28.0;M
447;Beko;27.0;M
449;Beko;40.0;M
450;Beko;39.0;M
451;Beko;35.0;M
452;Beko;44.0;M
455;Beko;44.0;M
456;Beko;40.0;M
457;Beko;32.0;M
461;Beko;19.0;M
465;Beko;61.0;M
