;Marka;Wiek kupującego;Płeć kupującego
9;Electrolux;52.0;M
16;Electrolux;54.0;M
26;Electrolux;63.0;M
38;Electrolux;22.0;M
122;Electrolux;46.0;M
130;Electrolux;;M
149;Electrolux;19.0;M
172;Electrolux;48.0;M
173;Electrolux;41.0;M
192;Electrolux;44.0;M
193;Electrolux;50.0;M
198;Electrolux;40.0;M
199;Electrolux;43.0;M
200;Electrolux;27.0;M
208;Electrolux;48.0;M
212;Electrolux;42.0;M
229;Electrolux;54.0;M
231;Electrolux;57.0;M
239;Electrolux;65.0;M
253;Electrolux;21.0;M
277;Electrolux;40.0;M
313;Electrolux;;M
323;Electrolux;40.0;M
336;Electrolux;23.0;M
355;Electrolux;25.0;M
384;Electrolux;44.0;M
406;Electrolux;36.0;M
