;Marka;Ocena;Płeć kupującego
9;Electrolux;0.5;M
16;Electrolux;1.5;M
26;Electrolux;3.0;M
38;Electrolux;2.0;M
122;Electrolux;2.5;M
130;Electrolux;2.0;M
149;Electrolux;1.0;M
172;Electrolux;4.0;M
173;Electrolux;1.5;M
192;Electrolux;3.0;M
193;Electrolux;2.5;M
198;Electrolux;2.5;M
199;Electrolux;2.0;M
200;Electrolux;1.0;M
208;Electrolux;3.0;M
212;Electrolux;3.5;M
229;Electrolux;2.5;M
231;Electrolux;2.5;M
239;Electrolux;1.5;M
253;Electrolux;1.0;M
277;Electrolux;2.5;M
313;Electrolux;1.5;M
323;Electrolux;1.5;M
336;Electrolux;3.5;M
355;Electrolux;3.0;M
384;Electrolux;1.5;M
406;Electrolux;3.5;M
