;Marka;Ocena;Płeć kupującego
0;Beko;3.0;M
1;Beko;3.0;bd.
2;Beko;2.0;M
3;Tefal;2.5;M
4;Beko;2.5;K
5;Electrolux;2.5;bd.
6;Beko;2.0;M
7;Beko;2.0;bd.
8;Beko;3.0;bd.
9;Electrolux;0.5;M
10;Beko;3.5;M
11;Tefal;2.0;M
12;Beko;1.5;K
13;Beko;2.5;bd.
14;Beko;3.0;K
15;Tefal;3.0;M
16;Electrolux;1.5;M
17;Beko;3.0;M
18;Samsung;3.0;K
19;Beko;2.5;M
20;Tefal;2.5;M
21;Beko;4.5;M
22;Beko;4.0;M
23;Electrolux;2.0;K
24;Samsung;2.0;M
25;Tefal;1.5;M
26;Electrolux;3.0;M
27;Beko;3.5;M
28;Beko;3.5;M
29;Beko;2.5;bd.
30;Tefal;1.0;K
31;Beko;3.0;K
32;Tefal;4.0;M
33;Beko;0.5;K
34;Tefal;2.0;bd.
35;Beko;1.5;K
36;Beko;1.5;M
37;Beko;3.0;M
38;Electrolux;2.0;M
39;Samsung;5.0;K
40;Tefal;1.5;M
41;Beko;2.0;M
42;Beko;4.0;M
43;Beko;4.5;K
44;Electrolux;3.5;bd.
45;Tefal;1.0;M
46;Electrolux;1.0;bd.
47;Beko;3.5;K
48;Dyson;3.0;M
49;Beko;2.5;M
50;Beko;2.5;bd.
51;Dyson;1.5;K
52;Tefal;2.0;bd.
53;Beko;2.5;M
54;Beko;1.0;M
55;Beko;2.5;bd.
56;Beko;3.0;bd.
57;Beko;1.0;K
58;Electrolux;4.0;K
59;Beko;3.0;K
60;Beko;3.0;M
61;Beko;2.0;K
62;Beko;4.5;M
63;Tefal;3.5;bd.
64;Beko;2.5;K
65;Beko;3.0;bd.
66;Beko;3.0;K
67;Beko;2.0;bd.
68;Beko;2.0;bd.
69;Beko;2.0;M
70;Beko;0.0;K
71;Electrolux;2.0;K
72;Beko;2.5;bd.
73;Beko;1.5;M
74;Beko;5.0;K
75;Tefal;1.0;M
76;Beko;1.0;M
77;Beko;1.0;K
